100 4950
7 58 84
7 59 142
7 60 271
7 61 292
7 62 458
7 63 487
7 64 467
7 65 13
7 66 260
7 67 357
7 68 187
7 69 489
7 70 369
7 71 44
7 72 141
7 73 396
7 74 389
7 75 349
7 76 33
7 77 264
7 78 167
7 79 342
7 80 189
7 81 65
7 82 394
7 83 222
7 84 80
7 85 421
7 86 225
7 87 206
7 88 432
7 89 292
7 90 120
7 91 313
7 92 458
7 93 250
7 94 238
7 95 47
7 96 277
7 97 296
7 98 418
7 99 11
7 100 299
8 9 338
8 10 198
8 11 339
8 12 342
8 13 128
8 14 312
8 15 339
8 16 287
8 17 101
8 18 95
8 19 101
8 20 12
8 21 4
8 22 72
8 23 482
8 24 477
8 25 472
8 26 130
8 27 144
8 28 441
8 29 97
8 30 112
8 31 105
8 32 300
8 33 260
8 34 7
8 35 128
8 36 456
8 37 279
8 38 242
8 39 399
8 40 56
8 41 288
8 42 267
8 43 238
8 44 378
8 45 476
8 46 201
8 47 136
8 48 191
8 49 189
8 50 378
8 51 167
8 52 277
8 53 217
8 54 56
8 55 75
8 56 20
8 57 283
8 58 193
8 59 406
8 60 30
8 61 361
8 62 486
8 63 15
8 64 355
8 65 123
8 66 272
8 67 156
8 68 434
8 69 302
8 70 386
8 71 249
8 72 243
8 73 63
8 74 318
8 75 69
8 76 199
8 77 286
8 78 134
8 79 369
8 80 5
8 81 49
8 82 30
8 83 233
8 84 57
8 85 333
8 86 74
8 87 421
8 88 13
8 89 155
8 90 212
8 91 306
8 92 47
8 93 164
8 94 229
8 95 319
8 96 233
8 97 89
8 98 144
8 99 222
8 100 105
9 10 19
9 11 92
9 12 463
9 13 297
9 14 485
9 15 120
9 16 300
9 17 326
9 18 191
9 19 315
9 20 305
9 21 439
9 22 110
9 23 414
9 24 145
9 25 494
9 26 188
9 27 10
9 28 449
9 29 72
9 30 208
9 31 249
9 32 454
9 33 131
9 34 400
9 35 329
9 36 113
9 37 320
9 38 385
9 39 273
9 40 307
9 41 475
9 42 323
9 43 494
9 44 218
9 45 292
9 46 266
9 47 22
9 48 350
9 49 106
9 50 286
9 51 390
9 52 258
9 53 402
9 54 400
9 55 56
9 56 427
9 57 195
9 58 339
9 59 67
9 60 8
9 61 482
9 62 367
9 63 288
9 64 498
9 65 331
9 66 188
9 67 467
9 68 309
9 69 183
9 70 210
9 71 295
9 72 152
9 73 66
9 74 496
9 75 361
9 76 376
9 77 387
9 78 397
9 79 296
9 80 415
9 81 313
9 82 417
9 83 226
9 84 80
9 85 178
9 86 94
9 87 218
9 88 331
9 89 213
9 90 146
9 91 281
9 92 78
9 93 468
9 94 40
9 95 244
9 96 201
9 97 403
9 98 108
9 99 322
9 100 289
10 11 279
10 12 459
10 13 115
10 14 473
10 15 283
10 16 233
10 17 339
10 18 201
10 19 170
10 20 197
10 21 57
10 22 347
10 23 121
10 24 192
10 25 335
10 26 280
10 27 39
10 28 117
10 29 382
10 30 438
10 31 472
10 32 290
10 33 178
10 34 28
10 35 373
10 36 287
10 37 335
10 38 313
10 39 206
10 40 188
10 41 93
10 42 56
10 43 314
10 44 317
10 45 331
10 46 16
10 47 498
10 48 475
10 49 323
10 50 237
10 51 59
10 52 376
10 53 172
10 54 272
10 55 150
10 56 263
10 57 441
10 58 116
10 59 162
10 60 377
10 61 399
10 62 131
10 63 182
10 64 88
10 65 196
10 66 221
10 67 465
10 68 68
10 69 49
10 70 142
10 71 313
10 72 352
10 73 415
10 74 330
10 75 104
10 76 79
10 77 369
10 78 304
10 79 301
10 80 151
10 81 174
10 82 273
10 83 30
10 84 459
10 85 443
10 86 402
10 87 471
10 88 250
10 89 109
10 90 163
10 91 109
10 92 240
10 93 302
10 94 241
10 95 7
10 96 492
10 97 40
10 98 214
10 99 377
10 100 284
11 12 350
11 13 50
11 14 2
11 15 52
11 16 135
11 17 261
11 18 462
11 19 437
11 20 100
11 21 83
11 22 434
11 23 445
11 24 6
11 25 197
11 26 101
11 27 428
11 28 373
11 29 234
11 30 216
11 31 37
11 32 110
11 33 377
11 34 425
11 35 233
11 36 47
11 37 494
11 38 162
11 39 329
11 40 448
11 41 226
11 42 447
11 43 445
11 44 409
11 45 465
11 46 490
11 47 226
11 48 457
11 49 4
11 50 216
11 51 371
11 52 266
11 53 379
11 54 462
11 55 392
11 56 313
11 57 21
11 58 464
11 59 226
11 60 169
11 61 35
11 62 28
11 63 286
11 64 479
11 65 33
11 66 420
11 67 244
11 68 342
11 69 129
11 70 138
11 71 432
11 72 32
11 73 223
11 74 297
11 75 33
11 76 241
11 77 358
11 78 3
11 79 170
11 80 362
11 81 347
11 82 315
11 83 471
11 84 157
11 85 94
11 86 340
11 87 247
11 88 330
11 89 86
11 90 273
11 91 143
11 92 160
11 93 412
11 94 164
11 95 408
11 96 217
11 97 451
11 98 430
11 99 314
11 100 302
12 13 44
12 14 264
12 15 329
12 16 24
12 17 291
12 18 438
12 19 306
12 20 380
12 21 455
12 22 79
12 23 382
12 24 487
12 25 246
12 26 97
12 27 338
12 28 412
12 29 496
12 30 238
12 31 243
12 32 296
12 33 30
12 34 9
12 35 260
12 36 398
12 37 497
12 38 249
12 39 346
12 40 396
12 41 31
12 42 280
12 43 340
12 44 13
12 45 61
12 46 465
12 47 78
12 48 19
12 49 391
12 50 102
12 51 362
12 52 385
12 53 496
12 54 365
12 55 175
12 56 386
12 57 91
12 58 328
12 59 113
12 60 245
12 61 445
12 62 343
12 63 63
12 64 78
12 65 278
12 66 267
12 67 299
12 68 473
12 69 333
12 70 286
12 71 413
12 72 121
12 73 404
12 74 330
12 75 90
12 76 75
12 77 314
12 78 188
12 79 202
12 80 197
12 81 437
12 82 148
12 83 237
12 84 373
12 85 210
12 86 109
12 87 165
12 88 6
12 89 188
12 90 101
12 91 186
12 92 474
12 93 486
12 94 89
12 95 423
12 96 128
12 97 481
12 98 490
12 99 352
12 100 82
13 14 257
13 15 76
13 16 182
13 17 319
13 18 331
13 19 188
13 20 22
13 21 276
13 22 194
13 23 169
13 24 257
13 25 321
13 26 167
13 27 257
13 28 81
13 29 151
13 30 22
13 31 227
13 32 468
13 33 400
13 34 211
13 35 68
13 36 351
13 37 76
13 38 291
13 39 237
13 40 223
13 41 377
13 42 248
13 43 263
13 44 388
13 45 385
13 46 47
13 47 292
13 48 172
13 49 320
13 50 313
13 51 103
13 52 36
13 53 415
13 54 500
13 55 443
13 56 455
13 57 361
13 58 93
13 59 384
13 60 213
13 61 216
13 62 134
13 63 445
13 64 117
13 65 421
13 66 100
13 67 48
13 68 183
13 69 489
13 70 446
13 71 222
13 72 92
13 73 205
13 74 112
13 75 244
13 76 228
13 77 192
13 78 356
13 79 62
13 80 46
13 81 337
13 82 258
13 83 96
13 84 449
13 85 213
13 86 209
13 87 395
13 88 417
13 89 253
13 90 15
13 91 498
13 92 54
13 93 474
13 94 363
13 95 206
13 96 136
13 97 369
13 98 495
13 99 279
13 100 247
14 15 296
14 16 305
14 17 393
14 18 271
14 19 442
14 20 157
14 21 379
14 22 61
14 23 243
14 24 292
14 25 180
14 26 159
14 27 284
14 28 400
14 29 23
14 30 87
14 31 171
14 32 467
14 33 359
14 34 461
14 35 340
14 36 143
14 37 434
14 38 431
14 39 162
14 40 114
14 41 284
14 42 92
14 43 269
14 44 255
14 45 486
14 46 258
14 47 32
14 48 285
14 49 196
14 50 331
14 51 177
14 52 203
14 53 100
14 54 341
14 55 263
14 56 65
14 57 449
14 58 195
14 59 481
14 60 127
14 61 417
14 62 426
14 63 148
14 64 279
14 65 497
14 66 366
14 67 498
14 68 177
14 69 244
14 70 496
14 71 140
14 72 237
14 73 336
14 74 390
14 75 212
14 76 489
14 77 288
14 78 241
14 79 474
14 80 388
14 81 221
14 82 154
14 83 276
14 84 51
14 85 301
14 86 265
14 87 388
14 88 445
14 89 408
14 90 32
14 91 454
14 92 121
14 93 231
14 94 84
14 95 390
14 96 367
14 97 389
14 98 110
14 99 322
14 100 398
15 16 91
15 17 228
15 18 113
15 19 458
15 20 434
15 21 209
15 22 294
15 23 83
15 24 5
15 25 423
15 26 250
15 27 156
15 28 7
15 29 126
15 30 108
15 31 479
15 32 126
15 33 324
15 34 137
15 35 174
15 36 267
15 37 200
15 38 392
15 39 436
15 40 137
15 41 426
15 42 291
15 43 404
15 44 294
15 45 248
15 46 484
15 47 437
15 48 54
15 49 402
15 50 1
15 51 178
15 52 489
15 53 487
15 54 404
15 55 288
15 56 328
15 57 210
15 58 47
15 59 93
15 60 226
15 61 265
15 62 21
15 63 282
15 64 86
15 65 131
15 66 23
15 67 15
15 68 99
15 69 278
15 70 154
15 71 337
15 72 5
15 73 338
15 74 234
15 75 113
15 76 112
15 77 256
15 78 32
15 79 446
15 80 44
15 81 216
15 82 228
15 83 346
15 84 66
15 85 398
15 86 418
15 87 389
15 88 350
15 89 34
15 90 41
15 91 119
15 92 24
15 93 234
15 94 478
15 95 41
15 96 327
15 97 380
15 98 55
15 99 291
15 100 313
16 17 23
16 18 278
16 19 123
16 20 247
16 21 99
16 22 233
16 23 81
16 24 179
16 25 240
16 26 167
16 27 451
16 28 291
16 29 260
16 30 382
16 31 316
16 32 359
16 33 109
16 34 357
16 35 470
16 36 40
16 37 413
16 38 199
16 39 256
16 40 244
16 41 433
16 42 98
16 43 187
16 44 47
16 45 164
16 46 434
16 47 463
16 48 442
16 49 18
16 50 462
16 51 411
16 52 9
16 53 6
16 54 15
16 55 344
16 56 189
16 57 94
16 58 32
16 59 347
16 60 121
16 61 224
16 62 249
16 63 38
16 64 471
16 65 99
16 66 258
16 67 437
16 68 363
16 69 25
16 70 49
16 71 331
16 72 282
16 73 214
16 74 362
16 75 397
16 76 280
16 77 102
16 78 135
16 79 88
16 80 484
16 81 159
16 82 161
16 83 190
16 84 141
16 85 240
16 86 91
16 87 265
16 88 41
16 89 406
16 90 89
16 91 129
16 92 442
16 93 206
16 94 166
16 95 463
16 96 370
16 97 370
16 98 95
16 99 30
16 100 307
17 18 371
17 19 296
17 20 113
17 21 188
17 22 262
17 23 222
17 24 148
17 25 275
17 26 127
17 27 236
17 28 420
17 29 319
17 30 7
17 31 381
17 32 364
17 33 355
17 34 200
17 35 15
17 36 360
17 37 167
17 38 443
17 39 117
17 40 97
17 41 459
17 42 132
17 43 424
17 44 357
17 45 111
17 46 294
17 47 40
17 48 321
17 49 355
17 50 159
17 51 79
17 52 329
17 53 92
17 54 73
17 55 221
17 56 500
17 57 47
17 58 389
17 59 457
17 60 293
17 61 64
17 62 368
17 63 465
17 64 114
17 65 48
17 66 4
17 67 206
17 68 448
17 69 163
17 70 191
17 71 309
17 72 420
17 73 453
17 74 296
17 75 203
17 76 450
17 77 5
17 78 93
17 79 406
17 80 413
17 81 221
17 82 203
17 83 194
17 84 199
17 85 282
17 86 31
17 87 347
17 88 430
17 89 125
17 90 95
17 91 191
17 92 224
17 93 454
17 94 142
17 95 199
17 96 38
17 97 68
17 98 412
17 99 162
17 100 232
18 19 274
18 20 35
18 21 288
18 22 459
18 23 305
18 24 100
18 25 116
18 26 269
18 27 266
18 28 387
18 29 454
18 30 104
18 31 486
18 32 74
18 33 240
18 34 342
18 35 440
18 36 422
18 37 252
18 38 408
18 39 69
18 40 99
18 41 116
18 42 144
18 43 130
18 44 415
18 45 367
18 46 214
18 47 244
18 48 123
18 49 486
18 50 162
18 51 360
18 52 265
18 53 418
18 54 136
18 55 111
18 56 74
18 57 210
18 58 183
18 59 185
18 60 342
18 61 320
18 62 214
18 63 474
18 64 347
18 65 124
18 66 26
18 67 468
18 68 263
18 69 312
18 70 163
18 71 36
18 72 230
18 73 85
18 74 157
18 75 124
18 76 214
18 77 395
18 78 387
18 79 38
18 80 414
18 81 343
18 82 323
18 83 327
18 84 266
18 85 336
18 86 192
18 87 120
18 88 135
18 89 162
18 90 226
18 91 164
18 92 409
18 93 428
18 94 460
18 95 349
18 96 350
18 97 170
18 98 64
18 99 394
18 100 387
19 20 425
19 21 468
19 22 331
19 23 51
19 24 12
19 25 13
19 26 430
19 27 304
19 28 357
19 29 252
19 30 228
19 31 73
19 32 414
19 33 481
19 34 14
19 35 304
19 36 69
19 37 326
19 38 398
19 39 226
19 40 417
19 41 191
19 42 81
19 43 337
19 44 383
19 45 179
19 46 318
19 47 364
19 48 499
19 49 361
19 50 273
19 51 365
19 52 347
19 53 341
19 54 259
19 55 294
19 56 291
19 57 419
19 58 150
19 59 484
19 60 300
19 61 319
19 62 89
19 63 328
19 64 188
19 65 370
19 66 128
19 67 108
19 68 462
19 69 395
19 70 83
19 71 251
19 72 159
19 73 241
19 74 5
19 75 103
19 76 295
19 77 14
19 78 61
19 79 382
19 80 148
19 81 274
19 82 194
19 83 126
19 84 363
19 85 176
19 86 386
19 87 366
19 88 114
19 89 260
19 90 92
19 91 200
19 92 452
19 93 424
19 94 267
19 95 413
19 96 13
19 97 89
19 98 140
19 99 363
19 100 39
20 21 398
20 22 88
20 23 456
20 24 321
20 25 351
20 26 400
20 27 279
20 28 386
20 29 50
20 30 357
20 31 327
20 32 238
20 33 287
20 34 86
20 35 467
20 36 36
20 37 10
20 38 398
20 39 419
20 40 399
20 41 138
20 42 422
20 43 222
20 44 26
20 45 278
20 46 126
20 47 41
20 48 276
20 49 404
20 50 85
20 51 135
20 52 424
20 53 20
20 54 243
20 55 377
20 56 273
20 57 9
20 58 446
20 59 285
20 60 103
20 61 469
20 62 7
20 63 304
20 64 110
20 65 281
20 66 439
20 67 433
20 68 109
20 69 275
20 70 144
20 71 166
20 72 173
20 73 324
20 74 211
20 75 480
20 76 338
20 77 116
20 78 416
20 79 437
20 80 368
20 81 123
20 82 120
20 83 476
20 84 427
20 85 351
20 86 45
20 87 471
20 88 169
20 89 311
20 90 70
20 91 269
20 92 34
20 93 359
20 94 309
20 95 117
20 96 482
20 97 134
20 98 330
20 99 307
20 100 465
21 22 137
21 23 154
21 24 15
21 25 195
21 26 397
21 27 176
21 28 155
21 29 486
21 30 298
21 31 224
21 32 42
21 33 36
21 34 267
21 35 142
21 36 381
21 37 115
21 38 394
21 39 392
21 40 302
21 41 472
21 42 281
21 43 445
21 44 478
21 45 95
21 46 360
21 47 333
21 48 400
21 49 287
21 50 475
21 51 342
21 52 119
21 53 355
21 54 76
21 55 423
21 56 410
21 57 19
21 58 441
21 59 452
21 60 340
21 61 463
21 62 28
21 63 258
21 64 161
21 65 143
21 66 246
21 67 489
21 68 193
21 69 259
21 70 29
21 71 7
21 72 56
21 73 249
21 74 120
21 75 48
21 76 303
21 77 272
21 78 488
21 79 253
21 80 390
21 81 372
21 82 37
21 83 140
21 84 383
21 85 235
21 86 342
21 87 30
21 88 252
21 89 278
21 90 48
21 91 215
21 92 282
21 93 383
21 94 349
21 95 10
21 96 31
21 97 179
21 98 202
21 99 297
21 100 470
22 23 56
22 24 197
22 25 199
22 26 491
22 27 71
22 28 154
22 29 110
22 30 454
22 31 375
22 32 462
22 33 319
22 34 481
22 35 356
22 36 284
22 37 469
22 38 104
22 39 441
22 40 143
22 41 123
22 42 393
22 43 151
22 44 163
22 45 254
22 46 306
22 47 360
22 48 497
22 49 98
22 50 72
22 51 149
22 52 175
22 53 142
22 54 478
22 55 464
22 56 303
22 57 462
22 58 240
22 59 452
22 60 404
22 61 244
22 62 233
22 63 149
22 64 122
22 65 58
22 66 384
22 67 123
22 68 22
22 69 203
22 70 477
22 71 427
22 72 487
22 73 239
22 74 279
22 75 5
22 76 302
22 77 150
22 78 117
22 79 310
22 80 86
22 81 305
22 82 317
22 83 284
22 84 335
22 85 248
22 86 394
22 87 63
22 88 216
22 89 301
22 90 172
22 91 334
22 92 3
22 93 410
22 94 214
22 95 146
22 96 226
22 97 144
22 98 475
22 99 242
22 100 30
23 24 389
23 25 151
23 26 256
23 27 316
23 28 46
23 29 300
23 30 160
23 31 77
23 32 54
23 33 68
23 34 146
23 35 461
23 36 426
23 37 267
23 38 136
23 39 499
23 40 347
23 41 86
23 42 312
23 43 44
23 44 444
23 45 450
23 46 207
23 47 21
23 48 272
23 49 146
23 50 236
23 51 54
23 52 64
23 53 390
23 54 441
23 55 312
23 56 463
23 57 432
23 58 63
23 59 17
23 60 46
23 61 30
23 62 159
23 63 298
23 64 240
23 65 434
23 66 415
23 67 142
23 68 103
23 69 416
23 70 30
23 71 312
23 72 269
23 73 73
23 74 40
23 75 149
23 76 272
23 77 300
23 78 341
23 79 25
23 80 354
23 81 409
23 82 324
23 83 274
23 84 235
23 85 60
23 86 399
23 87 350
23 88 278
23 89 254
23 90 320
23 91 273
23 92 108
23 93 95
23 94 241
23 95 197
23 96 480
23 97 174
23 98 383
23 99 437
23 100 221
24 25 183
24 26 196
24 27 499
24 28 433
24 29 369
24 30 418
24 31 83
24 32 485
24 33 377
24 34 320
24 35 238
24 36 6
24 37 200
24 38 42
24 39 54
24 40 310
24 41 413
24 42 396
24 43 78
24 44 216
24 45 445
24 46 49
24 47 180
24 48 389
24 49 401
24 50 94
24 51 252
24 52 285
24 53 202
24 54 217
24 55 106
24 56 264
24 57 410
24 58 327
24 59 6
24 60 489
24 61 11
24 62 271
24 63 246
24 64 279
24 65 413
24 66 190
24 67 109
24 68 151
24 69 52
24 70 14
24 71 154
24 72 103
24 73 308
24 74 359
24 75 388
24 76 238
24 77 172
24 78 420
24 79 102
24 80 308
24 81 195
24 82 500
24 83 204
24 84 453
24 85 111
24 86 249
24 87 315
24 88 353
24 89 469
24 90 352
24 91 4
24 92 190
24 93 392
24 94 177
24 95 354
24 96 247
24 97 33
24 98 16
24 99 237
24 100 272
25 26 26
25 27 86
25 28 20
25 29 265
25 30 195
25 31 482
25 32 239
25 33 267
25 34 305
25 35 14
25 36 90
25 37 140
25 38 207
25 39 55
25 40 209
25 41 34
25 42 319
25 43 324
25 44 174
25 45 258
25 46 332
25 47 307
25 48 166
25 49 355
25 50 189
25 51 23
25 52 78
25 53 193
25 54 230
25 55 1
25 56 120
25 57 395
25 58 358
25 59 232
25 60 241
25 61 322
25 62 147
25 63 159
25 64 324
25 65 115
25 66 410
25 67 4
25 68 498
25 69 267
25 70 277
25 71 378
25 72 124
25 73 193
25 74 373
25 75 74
25 76 28
25 77 360
25 78 245
25 79 435
25 80 230
25 81 270
25 82 138
25 83 3
25 84 370
25 85 415
25 86 426
25 87 283
25 88 294
25 89 6
25 90 152
25 91 2
25 92 39
25 93 414
25 94 355
25 95 105
25 96 482
25 97 232
25 98 185
25 99 115
25 100 51
26 27 403
26 28 480
26 29 410
26 30 451
26 31 278
26 32 327
26 33 177
26 34 408
26 35 137
26 36 187
26 37 484
26 38 278
26 39 414
26 40 180
26 41 48
26 42 402
26 43 3
26 44 61
26 45 133
26 46 223
26 47 72
26 48 265
26 49 345
26 50 66
26 51 347
26 52 498
26 53 483
26 54 325
26 55 203
26 56 423
26 57 85
26 58 304
26 59 227
26 60 181
26 61 437
26 62 469
26 63 233
26 64 317
26 65 449
26 66 156
26 67 87
26 68 66
26 69 52
26 70 386
26 71 343
26 72 104
26 73 478
26 74 89
26 75 89
26 76 477
26 77 474
26 78 99
26 79 320
26 80 346
26 81 2
26 82 98
26 83 72
26 84 393
26 85 301
26 86 256
26 87 473
26 88 128
26 89 187
26 90 376
26 91 249
26 92 252
26 93 256
26 94 117
26 95 97
26 96 364
26 97 222
26 98 50
26 99 63
26 100 230
27 28 433
27 29 212
27 30 135
27 31 374
27 32 376
27 33 64
27 34 42
27 35 499
27 36 217
27 37 35
27 38 355
27 39 412
27 40 206
27 41 227
27 42 224
27 43 206
27 44 48
27 45 44
27 46 321
27 47 462
27 48 66
27 49 371
27 50 423
27 51 376
27 52 173
27 53 93
27 54 178
27 55 186
27 56 300
27 57 349
27 58 269
27 59 229
27 60 327
27 61 350
27 62 95
27 63 259
27 64 285
27 65 374
27 66 30
27 67 351
27 68 486
27 69 379
27 70 318
27 71 121
27 72 273
27 73 240
27 74 441
27 75 252
27 76 123
27 77 146
27 78 238
27 79 56
27 80 211
27 81 156
27 82 62
27 83 451
27 84 312
27 85 421
27 86 228
27 87 431
27 88 276
27 89 419
27 90 428
27 91 448
27 92 146
27 93 435
27 94 300
27 95 419
27 96 498
27 97 182
27 98 65
27 99 38
27 100 141
28 29 483
28 30 81
28 31 195
28 32 477
28 33 176
28 34 156
28 35 301
28 36 17
28 37 338
28 38 135
28 39 183
